ID,LAND,TID,SITC,INDHOLD
1452,Haiti,2019,Maskiner og transportmidler,189
1453,Haiti,2020,Maskiner og transportmidler,151
1454,Haiti,2021,Maskiner og transportmidler,329
1466,Heard- og McDonaldøerne,2018,Maskiner og transportmidler,0
1467,Heard- og McDonaldøerne,2019,Maskiner og transportmidler,0
1468,Heard- og McDonaldøerne,2020,Maskiner og transportmidler,0
1469,Heard- og McDonaldøerne,2021,Maskiner og transportmidler,0
1481,Honduras,2018,Maskiner og transportmidler,8
1482,Honduras,2019,Maskiner og transportmidler,24
1483,Honduras,2020,Maskiner og transportmidler,7
1484,Honduras,2021,Maskiner og transportmidler,161
1496,Hongkong,2018,Maskiner og transportmidler,403683
1497,Hongkong,2019,Maskiner og transportmidler,402678
1498,Hongkong,2020,Maskiner og transportmidler,256514
1499,Hongkong,2021,Maskiner og transportmidler,568738
1511,Indien,2018,Maskiner og transportmidler,851400
1512,Indien,2019,Maskiner og transportmidler,825051
1513,Indien,2020,Maskiner og transportmidler,608997
1514,Indien,2021,Maskiner og transportmidler,845490
1526,Indonesien,2018,Maskiner og transportmidler,202043
1527,Indonesien,2019,Maskiner og transportmidler,114475
1528,Indonesien,2020,Maskiner og transportmidler,108033
1529,Indonesien,2021,Maskiner og transportmidler,157551
1541,Irak,2018,Maskiner og transportmidler,324
1542,Irak,2019,Maskiner og transportmidler,155
1543,Irak,2020,Maskiner og transportmidler,95
1544,Irak,2021,Maskiner og transportmidler,1897
1556,Iran,2018,Maskiner og transportmidler,1358
1557,Iran,2019,Maskiner og transportmidler,1583
1558,Iran,2020,Maskiner og transportmidler,357
1559,Iran,2021,Maskiner og transportmidler,546
1571,Irland,2018,Maskiner og transportmidler,1489816
1572,Irland,2019,Maskiner og transportmidler,1545943
1573,Irland,2020,Maskiner og transportmidler,1100834
1574,Irland,2021,Maskiner og transportmidler,1407819
1586,Island,2018,Maskiner og transportmidler,123330
1587,Island,2019,Maskiner og transportmidler,98501
1588,Island,2020,Maskiner og transportmidler,98921
1589,Island,2021,Maskiner og transportmidler,110905
1601,Israel,2018,Maskiner og transportmidler,154072
1602,Israel,2019,Maskiner og transportmidler,147961
1603,Israel,2020,Maskiner og transportmidler,145014
1604,Israel,2021,Maskiner og transportmidler,143865
1616,Italien,2018,Maskiner og transportmidler,6704383
1617,Italien,2019,Maskiner og transportmidler,6906134
1618,Italien,2020,Maskiner og transportmidler,7245505
1619,Italien,2021,Maskiner og transportmidler,8159491
1631,Jamaica,2018,Maskiner og transportmidler,448
