,LAND,TID,SITC,INDHOLD
1843,Laos,2020,Diverse fremstillede varer,5
1844,Laos,2021,Diverse fremstillede varer,6
1856,Lesotho,2018,Diverse fremstillede varer,0
1857,Lesotho,2019,Diverse fremstillede varer,0
1858,Lesotho,2020,Diverse fremstillede varer,0
1859,Lesotho,2021,Diverse fremstillede varer,0
1871,Letland,2018,Diverse fremstillede varer,544058
1872,Letland,2019,Diverse fremstillede varer,552131
1873,Letland,2020,Diverse fremstillede varer,732518
1874,Letland,2021,Diverse fremstillede varer,1203886
1886,Libanon,2018,Diverse fremstillede varer,50
1887,Libanon,2019,Diverse fremstillede varer,49
1888,Libanon,2020,Diverse fremstillede varer,44
1889,Libanon,2021,Diverse fremstillede varer,288
1901,Liberia,2018,Diverse fremstillede varer,473
1902,Liberia,2019,Diverse fremstillede varer,0
1903,Liberia,2020,Diverse fremstillede varer,0
1904,Liberia,2021,Diverse fremstillede varer,0
1916,Libyen,2018,Diverse fremstillede varer,0
1917,Libyen,2019,Diverse fremstillede varer,0
1918,Libyen,2020,Diverse fremstillede varer,0
1919,Libyen,2021,Diverse fremstillede varer,0
1931,Liechtenstein,2018,Diverse fremstillede varer,5
1932,Liechtenstein,2019,Diverse fremstillede varer,6
1933,Liechtenstein,2020,Diverse fremstillede varer,0
1934,Liechtenstein,2021,Diverse fremstillede varer,5
1946,Litauen,2018,Diverse fremstillede varer,1241040
1947,Litauen,2019,Diverse fremstillede varer,1220834
1948,Litauen,2020,Diverse fremstillede varer,1370341
