ID,LAND,TID,SITC,INDHOLD
350,Grenada,2019,Diverse fremstillede varer,30
351,Grenada,2020,Diverse fremstillede varer,0
352,Grenada,2021,Diverse fremstillede varer,1
353,Greece,2018,Diverse fremstillede varer,17603
354,Greece,2019,Diverse fremstillede varer,15928
355,Greece,2020,Diverse fremstillede varer,18155
356,Greece,2021,Diverse fremstillede varer,13223
357,Greenland,2018,Diverse fremstillede varer,1798
358,Greenland,2019,Diverse fremstillede varer,2113
359,Greenland,2020,Diverse fremstillede varer,2073
360,Greenland,2021,Diverse fremstillede varer,3634
361,Guadeloupe,2018,Diverse fremstillede varer,0
362,Guadeloupe,2019,Diverse fremstillede varer,0
363,Guadeloupe,2020,Diverse fremstillede varer,0
364,Guadeloupe,2021,Diverse fremstillede varer,0
365,Guam,2018,Diverse fremstillede varer,0
366,Guam,2019,Diverse fremstillede varer,0
367,Guam,2020,Diverse fremstillede varer,0
368,Guam,2021,Diverse fremstillede varer,0
369,Guatemala,2018,Diverse fremstillede varer,63
370,Guatemala,2019,Diverse fremstillede varer,3
371,Guatemala,2020,Diverse fremstillede varer,6
372,Guatemala,2021,Diverse fremstillede varer,17
373,Guinea,2018,Diverse fremstillede varer,0
374,Guinea,2019,Diverse fremstillede varer,0
375,Guinea,2020,Diverse fremstillede varer,0
376,Guinea,2021,Diverse fremstillede varer,0
377,Guinea-Bissau,2018,Diverse fremstillede varer,0
378,Guinea-Bissau,2019,Diverse fremstillede varer,0
379,Guinea-Bissau,2020,Diverse fremstillede varer,0
380,Guinea-Bissau,2021,Diverse fremstillede varer,0
381,Guyana,2018,Diverse fremstillede varer,0
382,Guyana,2019,Diverse fremstillede varer,0
383,Guyana,2020,Diverse fremstillede varer,287
384,Guyana,2021,Diverse fremstillede varer,607
385,Haiti,2018,Diverse fremstillede varer,0
386,Haiti,2019,Diverse fremstillede varer,0
387,Haiti,2020,Diverse fremstillede varer,1
388,Haiti,2021,Diverse fremstillede varer,0
389,Heard Island and  McDonald Islands,2018,Diverse fremstillede varer,0
390,Heard Island and  McDonald Islands,2019,Diverse fremstillede varer,110
391,Heard Island and  McDonald Islands,2020,Diverse fremstillede varer,0
